id,name,type,rarity,tags,buildTags,appearances,selections,choiceRate,upgradeRate,drawOpportunities,plays,drawnUseRate,selectedWinRate,averageContribution,playerRating
warrior_bloodlet_cleave,断誓开锋,攻击,稀有,血债,bloodoath,69,44,0.6376811594202898,0.8181818181818182,615,589,0.9577235772357724,0.8863636363636364,127.12092803030305,4.099090909090907
archer_returning_feather,折返羽刃,攻击,普通,放逐,exile,68,34,0.5,0.08823529411764706,484,414,0.8553719008264463,0.7058823529411765,58.83613445378151,4.189117647058824
mage_star_ward,残星护文,防御,普通,咏唱,chant,68,46,0.6764705882352942,0,294,235,0.7993197278911565,0.7391304347826086,25.164492753623257,4.317173913043476
archer_hawkeye,鹰眼贯枝,攻击,稀有,蓄力,gale,67,24,0.3582089552238806,0,368,291,0.7907608695652174,0.75,99.39827533577535,4.060000000000001
warrior_oath_charge,王誓蓄锋,防御,稀有,保留,oathblade,67,27,0.40298507462686567,0.18518518518518517,1074,568,0.5288640595903166,0.9629629629629629,31.96242610811323,4.157037037037039
warrior_oath,遗迹立誓,能力,稀有,庇护,oathblade,67,31,0.4626865671641791,0,577,208,0.36048526863084923,0.967741935483871,23.97385560675882,4.210967741935486
mage_mute_sand,禁言星砂,能力,史诗,眩晕/虚弱,calamity,66,6,0.09090909090909091,0,43,39,0.9069767441860465,1,0,4.7
mage_stasis_hex,星缚咒印,能力,史诗,眩晕/诅咒,calamity,66,10,0.15151515151515152,0,44,30,0.6818181818181818,0.6,0,4.276000000000001
archer_red_mark,赤痕连矢,攻击,普通,出血,venom,66,40,0.6060606060606061,0.35,459,409,0.8910675381263616,0.4,44.096680194805195,3.8289999999999997
archer_shadow_line,影羽切线,攻击,普通,放逐,exile,65,31,0.47692307692307695,0.22580645161290322,445,366,0.8224719101123595,0.6451612903225806,63.36217008797654,4.235483870967744
archer_venom_flurry,翠毒连矢,攻击,普通,剧毒,venom,64,34,0.53125,0.47058823529411764,338,318,0.9408284023668639,0.2647058823529412,54.330882352941174,3.702352941176472
warrior_venom_scar,破势剑痕,攻击,稀有,易伤,execution,64,35,0.546875,0.22857142857142856,236,201,0.8516949152542372,0.5428571428571428,39.14952380952381,4.063714285714286
archer_redline_hunt,赤线追猎,攻击,普通,出血,venom,64,37,0.578125,0.2702702702702703,348,314,0.9022988505747126,0.3783783783783784,41.368725868725875,3.897297297297298
warrior_bastion_ledger,壁垒记录,能力,稀有,庇护,oathblade,63,9,0.14285714285714285,0,109,34,0.3119266055045872,1,14.158148148148145,4.2
archer_crosswind_guard,侧风护步,防御,稀有,自然,gale,63,32,0.5079365079365079,0.15625,621,560,0.9017713365539453,0.71875,56.26950644841259,4.078125000000002
archer_cycle_branch,轮枝归射,攻击,稀有,回收,exile,63,40,0.6349206349206349,0,403,108,0.2679900744416873,0.625,14.847083333333336,4.093749999999999
mage_second_hand,第二指针,防御,史诗,回响,mirror,62,13,0.20967741935483872,0,82,33,0.4024390243902439,0.8461538461538461,11.992179487179488,4.353076923076924
warrior_thorn_charge,棘甲冲锋,攻击,稀有,圣剑,oathblade,62,15,0.24193548387096775,0,210,161,0.7666666666666667,1,55.40888888888889,4.2666666666666675
mage_double_archive,双页归档,能力,史诗,复刻,mirror,61,5,0.08196721311475409,0,21,12,0.5714285714285714,0.6,5.6,3.632
warrior_charge,圣剑突击,攻击,稀有,圣剑,oathblade,61,6,0.09836065573770492,0,80,63,0.7875,1,37.09444444444444,4.283333333333333
archer_barrage,疾风连射,攻击,稀有,追击,gale,61,10,0.16393442622950818,0.2,128,95,0.7421875,0.6,22.683333333333334,3.9820000000000007
archer_soul_return,林魂招矢,能力,稀有,回收,exile,60,17,0.2833333333333333,0,178,146,0.8202247191011236,0.7333333333333333,17.69333333333333,4.262000000000001
warrior_blood_guard_step,偿血追命,攻击,稀有,血债,bloodoath,60,32,0.5333333333333333,0.25,438,403,0.9200913242009132,0.875,123.14592633928571,4.029062500000001
mage_echo_veil,回声护幕,防御,稀有,回响,mirror,60,34,0.5666666666666667,0,315,228,0.7238095238095238,0.8235294117647058,22.33964932126697,4.431176470588235
warrior_soul_oath,魂誓换锋,能力,稀有,充能,oathblade,60,37,0.6166666666666667,0,685,295,0.4306569343065693,0.9459459459459459,36.96890850934969,4.096756756756756
archer_forest_specimen,归林标本,能力,稀有,回收,exile,60,38,0.6333333333333333,0,439,406,0.9248291571753986,0.5,33.37500000000001,4.041052631578947
warrior_crown_riposte,王冠反斩,攻击,史诗,反击/重击,oathblade,59,5,0.0847457627118644,0,38,16,0.42105263157894735,1,41.99999999999999,4.3
mage_barrier,魔流庇护,能力,稀有,咏唱,chant,59,6,0.1016949152542373,0,31,29,0.9354838709677419,0.3333333333333333,0,4.123333333333333
warrior_guard,圣堂守势,防御,史诗,荆棘,oathblade,59,7,0.11864406779661017,0,92,15,0.16304347826086957,1,8.788888888888888,4.2
warrior_oath_pressure,誓血缚阵,能力,稀有,血债,bloodoath,59,8,0.13559322033898305,0,89,84,0.9438202247191011,1,0,4.2
archer_hidden_arrow,回风藏箭,能力,稀有,蓄力,gale,59,11,0.1864406779661017,0,196,139,0.7091836734693877,0.8181818181818182,46.00909090909091,3.9172727272727275
archer_spore_shadow,孢影伏击,能力,普通,剧毒,venom,58,10,0.1724137931034483,0,56,54,0.9642857142857143,0.6666666666666666,0,4.3
archer_backstep,回风短跃,防御,稀有,自然,gale,58,23,0.39655172413793105,0,448,408,0.9107142857142857,0.8260869565217391,56.41003576134009,4.095652173913045
warrior_oath_reversal,誓壁反转,防御,史诗,反击/重置,oathblade,58,29,0.5,0,355,185,0.5211267605633803,0.9310344827586207,29.951218896046523,4.104482758620692
archer_red_tide_bow,赤潮短弓,攻击,普通,出血,venom,58,29,0.5,0.06896551724137931,283,235,0.8303886925795053,0.27586206896551724,29.743842364532018,3.7079310344827596
mage_transcribe_ring,转录法环,能力,稀有,复刻,mirror,57,10,0.17543859649122806,0,89,64,0.7191011235955056,0.6,13.833333333333332,3.9370000000000003
warrior_blood_vow_slash,血誓斩,攻击,稀有,血债,bloodoath,57,28,0.49122807017543857,0.35714285714285715,346,327,0.9450867052023122,0.8928571428571429,46.42678571428572,4.105000000000001
mage_mirror_array,镜阵留声,能力,稀有,复刻,mirror,56,12,0.21428571428571427,0,60,29,0.48333333333333334,0.6666666666666666,6.777777777777779,4.315
mage_radiant_law,辉烬爆律,攻击,稀有,爆发,chant,56,36,0.6428571428571429,0,226,179,0.7920353982300885,0.5833333333333334,63.01666666666668,4.196111111111112
mage_glass_recursion,玻璃递归,攻击,稀有,复刻,mirror,56,37,0.6607142857142857,0,283,246,0.8692579505300353,0.7027027027027027,46.027027027027025,4.177297297297296
archer_wind_string,风线扣弦,能力,普通,蓄力,gale,55,2,0.03636363636363636,0,9,3,0.3333333333333333,0.5,3,3.99
warrior_blood_wall,血痕引路,能力,稀有,血债,bloodoath,55,4,0.07272727272727272,0,21,14,0.6666666666666666,0.75,0,3.6925
warrior_blood_drive,不赦血契,能力,稀有,血债,bloodoath,55,6,0.10909090909090909,0,80,63,0.7875,0.8333333333333334,0,4.056666666666667
mage_frost_hex,霜咒压迫,攻击,稀有,虚弱,calamity,55,24,0.43636363636363634,0,144,128,0.8888888888888888,0.4583333333333333,27.277777777777782,4.061250000000001
archer_aim,拉弓瞄准,能力,稀有,蓄力,gale,55,24,0.43636363636363634,0.125,370,280,0.7567567567567568,0.5833333333333334,67.27083333333334,3.7958333333333343
warrior_boiling_drive,沸血突进,攻击,稀有,血债,bloodoath,55,28,0.509090909090909,0.03571428571428571,301,261,0.867109634551495,0.8928571428571429,31.338095238095246,4.097500000000002
mage_withered_stars,群星枯萎,攻击,史诗,诅咒/虚弱,calamity,55,29,0.5272727272727272,0,183,143,0.7814207650273224,0.4827586206896552,45.33333333333333,4.157241379310347
warrior_banner_guard,誓旗护阵,能力,稀有,庇护,oathblade,55,34,0.6181818181818182,0.029411764705882353,608,311,0.5115131578947368,0.9411764705882353,40.759115721849305,4.085882352941177
archer_snake_eye,蛇眼标记,能力,稀有,剧毒,venom,54,3,0.05555555555555555,0,28,15,0.5357142857142857,0,0,3.5033333333333334
archer_lost_arrow_mark,遗箭定位,能力,稀有,回收,exile,54,8,0.14814814814814814,0,102,83,0.8137254901960784,0.625,14.791666666666668,4.21625
archer_shadow,狩影穿枝,攻击,稀有,追击,gale,54,11,0.2037037037037037,0.09090909090909091,146,115,0.7876712328767124,0.36363636363636365,50.51212121212121,3.821818181818182
archer_rain,回环箭雨,攻击,史诗,追击,gale,54,13,0.24074074074074073,0,139,73,0.5251798561151079,0.6153846153846154,14.234432234432234,3.922307692307693
archer_leaf_search,叶脉检索,能力,稀有,回收,exile,54,18,0.3333333333333333,0,253,248,0.9802371541501976,0.75,19.866666666666664,4.278750000000001
archer_step,猎手翻步,能力,普通,自然,gale,54,24,0.4444444444444444,0,274,60,0.21897810218978103,0.7692307692307693,13.809523809523812,4.06923076923077
archer_leaf_sidestep,踏叶侧射,攻击,普通,追击,gale,54,26,0.48148148148148145,0.7692307692307693,421,387,0.9192399049881235,0.6923076923076923,42.91153846153846,4.034230769230771
mage_countdown,聚焰读秒,能力,稀有,咏唱,chant,53,20,0.37735849056603776,0,99,57,0.5757575757575758,0.6,9,4.235000000000001
mage_bad_omen_chain,厄兆连珠,攻击,稀有,燃烧,calamity,53,23,0.4339622641509434,0,132,118,0.8939393939393939,0.43478260869565216,28.289855072463766,3.904782608695653
warrior_silent_lunge,默步突刺,攻击,稀有,穿甲,execution,53,24,0.4528301886792453,0.5,183,160,0.8743169398907104,0.5,58.298611111111114,3.9641666666666673
archer_quick_corridor,急羽穿廊,攻击,稀有,追击,gale,53,27,0.5094339622641509,0.8148148148148148,391,374,0.9565217391304348,0.7407407407407407,110.17989417989419,4.064444444444446
mage_twin_spark,双生火花,攻击,稀有,回响,mirror,53,29,0.5471698113207547,0,211,167,0.7914691943127962,0.7241379310344828,34.48275862068965,4.235172413793105
archer_poison_rain,毒雨留弦,攻击,稀有,剧毒,venom,52,16,0.3076923076923077,0,148,90,0.6081081081081081,0.375,43.75,3.733125000000001
archer_pick_feather,拾羽连步,能力,稀有,回收,exile,52,23,0.4423076923076923,0,235,209,0.8893617021276595,0.7619047619047619,13.27709750566893,4.303333333333335
archer_leaf_store,飞叶封存,防御,普通,闪避,gale,51,29,0.5686274509803921,0.13793103448275862,655,503,0.76793893129771,0.7931034482758621,30.181167711598732,4.090000000000002
archer_poison_step,毒痕护步,防御,稀有,虚弱,venom,51,31,0.6078431372549019,0.3225806451612903,419,362,0.863961813842482,0.6451612903225806,41.328951612903275,4.167096774193549
archer_outerwood_recall,林外回收,能力,稀有,回收,exile,50,15,0.3,0,200,197,0.985,0.6,19.822222222222226,4.154000000000001
archer_ember_feather,轻羽连射,攻击,普通,追击,gale,50,18,0.36,0.4117647058823529,311,258,0.8295819935691319,0.5882352941176471,32.85200746965453,3.9517647058823533
warrior_steel_pressure,鸣钢压迫,攻击,稀有,穿甲,execution,50,22,0.44,0.09090909090909091,165,120,0.7272727272727273,0.5,75.04040404040403,3.961818181818183
archer_blood_release,赤痕放血,攻击,稀有,放血,venom,50,35,0.7,0.5714285714285714,335,304,0.9074626865671642,0.37142857142857144,51.28027210884354,3.8394285714285723
archer_venom_blood_shift,毒血换羽,能力,稀有,放血,venom,49,6,0.12244897959183673,0,52,31,0.5961538461538461,0.6666666666666666,0,3.911666666666667
warrior_life_contract,回生血契,能力,稀有,血债,bloodoath,49,7,0.14285714285714285,0,69,16,0.2318840579710145,1,24.355238095238093,4.271428571428571
archer_ready,林风整备,能力,稀有,自然,gale,49,12,0.24489795918367346,0,153,15,0.09803921568627451,0.5833333333333334,4.161375661375661,3.9975000000000005
mage_echo_shift,回声置换,能力,稀有,重置,mirror,49,24,0.4897959183673469,0,189,149,0.7883597883597884,0.7916666666666666,30.099999999999998,4.1887500000000015
archer_hook_sinew,断筋倒钩,攻击,稀有,放血,venom,49,26,0.5306122448979592,0.11538461538461539,280,252,0.9,0.23076923076923078,35.971428571428575,3.6850000000000005
warrior_disarm_press,断腕缴械,能力,稀有,眩晕,execution,48,1,0.020833333333333332,0,16,14,0.875,1,0,4.2
archer_bitter_vine,苦藤攀附,能力,稀有,剧毒,venom,48,3,0.0625,0,13,8,0.6153846153846154,0.6666666666666666,0,4.246666666666666
archer_rotten_net,腐叶陷网,能力,史诗,剧毒/眩晕,venom,48,9,0.1875,0,62,52,0.8387096774193549,0.5555555555555556,0,4.025555555555555
warrior_wall,盾墙反身,防御,史诗,庇护,oathblade,48,10,0.20833333333333334,0,147,60,0.40816326530612246,0.9,17.537142857142857,4.0840000000000005
mage_loop,法环回流,能力,稀有,咏唱,chant,48,11,0.22916666666666666,0,77,49,0.6363636363636364,0.7272727272727273,0,4.50909090909091
archer_exile_shot,逐影放矢,攻击,稀有,放逐,exile,48,15,0.3125,0.2,195,158,0.8102564102564103,0.6666666666666666,59.30158730158731,4.118666666666668
mage_blood_orbit,灼月星轨,攻击,稀有,燃烧,calamity,48,20,0.4166666666666667,0,100,92,0.92,0.45,24.033333333333335,4.046500000000001
warrior_heart_probe,穿心试探,攻击,稀有,穿甲,execution,48,28,0.5833333333333334,0.21428571428571427,228,184,0.8070175438596491,0.39285714285714285,95.78095238095239,3.9846428571428585
archer_grove,森冠齐射,攻击,史诗,追击/穿甲,gale,47,7,0.14893617021276595,0,132,74,0.5606060606060606,0.7142857142857143,24.009183673469387,3.8414285714285716
mage_star_copy,星环复写,能力,稀有,复刻,mirror,47,14,0.2978723404255319,0,86,66,0.7674418604651163,0.5714285714285714,10.45238095238095,3.8964285714285722
mage_orbit_lock,星轨锁定,能力,稀有,咏唱,chant,47,16,0.3404255319148936,0,75,52,0.6933333333333334,0.5625,10.708333333333332,4.1693750000000005
mage_calamity_tune,灾厄调谐,攻击,稀有,诅咒,calamity,47,25,0.5319148936170213,0,138,114,0.8260869565217391,0.44,25.38666666666667,4.052000000000001
warrior_break_form,破阵换位,能力,稀有,重置/销毁,execution,46,5,0.10869565217391304,0,23,16,0.6956521739130435,0.2,12,3.742
warrior_gap_finder,破隙检定,攻击,稀有,穿甲,execution,45,9,0.2,0.1111111111111111,57,36,0.631578947368421,0.5555555555555556,19.509259259259256,4.087777777777778
archer_lostroad_cache,失路箭袋,能力,普通,放逐,exile,45,18,0.4,0,187,113,0.6042780748663101,0.7222222222222222,29.120370370370367,4.302222222222223
warrior_release,圣剑解放,攻击,史诗,圣剑/重击,oathblade,44,9,0.20454545454545456,0,80,55,0.6875,1,58,4.311111111111112
mage_bloodlet_omen,断咒预兆,能力,稀有,诅咒,calamity,44,9,0.20454545454545456,0,55,42,0.7636363636363637,0.5555555555555556,17.314814814814817,4.254444444444445
warrior_scar,铁壁圣痕,防御,史诗,庇护,oathblade,44,10,0.22727272727272727,0,306,105,0.3431372549019608,0.8,22.23381063381063,3.7730000000000006
archer_green_mist_end,绿雾终幕,攻击,史诗,剧毒/放血,venom,44,34,0.7727272727272727,0,280,211,0.7535714285714286,0.38235294117647056,51.08977591036415,3.963235294117647
archer_old_arrow_dream,旧箭入梦,能力,稀有,回收,exile,43,13,0.3023255813953488,0,123,102,0.8292682926829268,0.45454545454545453,14.957575757575757,4.081818181818182
archer_skin_splitter,裂肤箭,攻击,稀有,出血,venom,43,17,0.3953488372093023,0.11764705882352941,101,88,0.8712871287128713,0.47058823529411764,24.794117647058822,3.892941176470589
mage_sick_star,坠星病灶,攻击,稀有,易伤,calamity,43,18,0.4186046511627907,0,109,91,0.8348623853211009,0.4444444444444444,25.518518518518515,4.092777777777779
archer_throat_poison,森毒封喉,攻击,稀有,剧毒,venom,43,18,0.4186046511627907,0,149,87,0.5838926174496645,0.3333333333333333,36.59259259259259,3.7505555555555556
